"","interes_ES","barreras_ES","publico_general_ES"
"36","Estoy interesada en participar en este programa de formación en Ciencia Abierta por la oportunidad de aprender y colaborar a una causa que considero fundamental para el futuro de la investigación científica y el bienestar global.","Las principales barreras para adoptar la Ciencia Abierta son la falta de reconocimiento académico por compartir datos y publicaciones, las preocupaciones sobre la privacidad de los datos sensibles.","Creo que la adopción de principios de Ciencia Abierta puede fortalecer la relación entre científicos y el público al hacer la investigación más transparente y accesible, lo que aumenta la confianza y fomenta un diálogo más inclusivo y colaborativo."
"37","Me lo recomendó fuertemente una compañera y amiga que lo hizo","Algunas personas prefieren la ciencia elitista y exclusiva","Mayor conocimiento del funcionamiento de instituciones tanto privadas como públicas"
"38","Porque ampliará la manera en la que voy a publicar mis datos, manejar mis grupos de investigación...","Suelen ocurrir muchos problemas porque las personas que conozco siempre quieren créditos, patentes, así que no se animan a divulgar el conocimiento","La ciencia suele verse como algo lejano, cuando es lo que nos sucede día a día. Estás maneras nos permiten acercar la ciencia a la población en general"
"39","Conocer Ciencia Abierta","Las icencias de software","No los conozco todavía."
"40","Me parece importante adoptar prácticas y metodologías de Ciencia Abierta para tener un mayor alcance a la sociedad y especialmente a los grupos minoritarios y excluidos","Alcanzar los estándares de publicación requeridos especialmente con restricciones de apoyo y fondos para la investigación","En términos de replicar los métodos, análisis y el uso de los resultados para la toma de decisiones"
"41","Aprender sobre los procedimientos para establecer una ciencia abierta en los equipos de trabajo y los grupos de investigación en la universidad donde laboro","El plagio de proyectos con ideas innovadoras","Permitiendo al acceso a la totalidad de la investigación realizada"
"42","Actualizar mis conocimiento y ser formador de formadores","Conocimiento y conciencia sobre ciencia abierta y sobre todo los modelos de evaluación.","Aprendizaje mutuo y una ciencia más humana"
"43","Estoy emocionada por la oportunidad de participar en esta formación sobre Ciencia Abierta con la iniciativa TOPS de la NASA. Como investigadora recién iniciada en Perú, creo que esta capacitación no solo me permitirá adquirir conocimientos sólidos en Ciencia Abierta, sino también entender cómo aplicar estos principios de manera efectiva en nuestro contexto local. Es crucial para mí poder contribuir al avance de la ciencia desde una perspectiva abierta y colaborativa, especialmente considerando los desafíos y oportunidades únicas que enfrentamos en América Latina. El hecho de que los temas se abordarán desde una mirada local me parece sumamente enriquecedor, ya que podremos discutir y aprender de ejemplos y situaciones que son relevantes para nuestra región. 
Estoy segura de que esta experiencia no solo ampliará mis conocimientos, sino que también me conectará con una red de profesionales comprometidos con la Ciencia Abierta, sumado a que en el grupo de Psinet Lab, e cual integro hablamos y discutimos sobre la relevancia de la ciencia abierta y el derecho a la ciencia, como parte de las recomendaciones de la UNESCO.","En disciplinas como la psicología en Latinoamérica, la investigación ha estado tradicionalmente enfocada en métodos y prácticas más cerradas y competitivas, por lo que se puede enfrentar cierta resistencia debido a la valoración histórica de la privacidad de los datos y la competencia por la primacía en investigaciones. Asimismo,  la falta de infraestructura adecuada y recursos financieros limitados pueden ser barreras significativas para la implementación de Ciencia Abierta, esto incluye la necesidad de plataformas tecnológicas robustas y accesibles para el manejo de datos abiertos, por ejemplo, a mi me interesa realizar investigación en neuropsicología como el estudio del deterioro cognitivo en población de adultos mayores que hablan quechua o aymara, sin embargo en mi contexto no cuento con este tipo de infraestructura o los cuidados de instrumentos de neuroimagen no son los adecuados, por lo que tener mayor acceso a estos recursos, de igual forma significará cierto recelo por las instituciones que no desean dar mayor accesibilidad a estos recursos por fines económicos.","La apertura y accesibilidad de datos y resultados pueden mejorar la transparencia de la investigación, aumentando así la confianza del público en la ciencia y en los investigadores. Asimismo, facilitar el acceso público a datos y resultados puede aumentar la relevancia social de la investigación  al abordar problemas locales y culturales específicos, como la salud mental y el bienestar comunitario. La Ciencia Abierta puede fomentar una mayor participación del público en la investigación, permitiendo que las comunidades contribuyan con perspectivas y conocimientos que enriquezcan los estudios y promuevan soluciones más inclusivas. Por ejemplo, aun siento que es notoria la brecha de genero respecto al involucramiento de las mujeres en la ciencia o a su permanencia en el campo científico, debido a que según las estadísticas cuando asumen el rol de maternidad al menos el 44% no continua su carrera profesional, así también las población indígenas no reciben la relevancia necesaria y atención debido a que la mayoría de investigaciones no analizan su cultural y sus problemas bajo sus propios contextos."
"44","En este curso podré aprender sobre los saberes, para identificar y conocer las diversas experiencias innovadoras y prácticas que se realizan en la Ciencia Abierta y poder aplicar en los espacios de Perú, es esta ocasión participaré como parte de la organización de SINERGIA PROGRAM, que es una organización que se encarga de difundir la ciencia y busca el involucramiento de más jóvenes en la ciencia. Además, en este programa de formación permitirá generar una red de contactos de personas o agrupaciones que difunden ciencia en la comunidad hispanohablante y se pueda posteriormente replicar lo aprendido con los demás integrantes de nuestra organización y realizar más trabajos en conjunto fortaleciendo la “Ciencia Ciudadana”.","Actualmente las principales barreras que encuentro en la realización de Ciencia Abierta es el alto grado de competitividad que existe entre los investigadores científicos e instituciones, el campo en el que me he estado desarrollando es biorremediación y uso de flora de ecosistemas de alta montaña. Al ser este un ecosistema particular y no muy estudiado por ser muy puntual no existe mucha información sobre este tema y las organizaciones que realizan la misma investigación, no comparten los hallazgos o datos que se encuentran por temor a perder los créditos de la investigación.","Considero que, al aplicar los principios de Ciencia Abierta, permitiría que más personas se sumen a realizar investigaciones científicas, así mismo también se eliminaría los mitos, en los cuales se considera que la ciencia es solo para un pequeño sector y no para todas las personas. Abrir la ciencia ayudaría a que los ciudadanos o personas que conozcan un problema, tengan la posibilidad de ser investigadores ciudadanos y con la guía necesaria, generar conocimientos científicos."
"45","Estoy profundamente interesada en participar en este programa de formación porque deseo fortalecer mis habilidades en la ciencia de Datos, y así contribuir de manera más efectiva a la investigación con mi equipo de trabajo.","Cultura académica tradicional que favorece la competencia sobre la colaboración.
Falta de conocimiento y capacitación sobre prácticas de Ciencia Abierta.
Costos y recursos adicionales requeridos para implementar prácticas abiertas.
Preocupaciones sobre privacidad y seguridad de los datos.
Falta de incentivos y reconocimiento para la adopción de Ciencia Abierta.
Cuestiones legales y de propiedad intelectual al compartir datos y resultados.","Participación Pública: Al hacer que la investigación sea más accesible y comprensible, la Ciencia Abierta puede fomentar una mayor participación del público en la ciencia. Esto puede incluir desde la contribución a proyectos de investigación ciudadana hasta la participación en debates informados sobre temas científicos."
"46","Creo que hacer ciencia abierta es fundamental para el desarrollo de la ciencia, me interesa profundiar en las formas de aplicar ciencia abierta y como lo hacen otros grupos.","Uno de los mayores desafíos considero que es el alto costo de publicación open access en revistas de alto IF. En particular me parece un desafío la protección de la propiedad intelectual antes de publicar.","Creo que la relación se beneficiaría ya que aseguraría la distribución de datos para cualquier persona del público en general que desee acceder."
"47","Porque quiero iniciar en la investigación y considero que aprendiendo en este programa será un buen primer paso.","Una posible barrera sería el tema de los derechos de autor.","La volvería más cercana, lo que conectaría y haría realidad llevar la ciencia a las comunidades para utilizar el conocimiento a favor de estas."
"48","Soy editor de una revista electrónica y me interesa conocer sobre el tema del programa","algunos investigadores son reacios a publicar los datos (en bruto) antes de ser procesados y lograr los resultados","no lo puedo precisar, siento que en ambas partes existe resistencia al cambio"
"49","Ampliación del conocimiento","Políticas institucionales que no permitan adoptar prácticas de Ciencia Abierta","Puede mejorar la percepción de la Ciencias"
"50","Soy parte de comunidades relevantes al movimiento de ciencia abierta (una revista y una sociedad cientifica), y me gustaría conectar con otros miembros de la comunidad hispanoparlante, así como tambien actualizar mis conocimientos en el tema","existe aun un sesgo generacional en que los investigadores no ven el valor en realizar estas practicas, o pueden percibir que tendría un sesgo negativo, o simplemente no ven un estímulo para hacerlo-","mejoraría significativamente la calidad de la investigación publicada, la eficiencia en el uso de la información y es fundamental para mantener la transparencia de la investigación en general"
"51","Me interesa la perspectiva local, conocer iniciativas de la región y conocer si hay aceptación en la región de compartir abiertamente el trabajo realizado","Las revistas tiene muy alto costo","Más acceso a la ciencia actual"
"52","Me interesa aprender nuevos campos que pueda complementar mi campo profesional, el conocimiento es fundamental y me entusiasma la idea de conocer un programa de formación nuevo y diferente que apoye a la comunidad científica también a las áreas del saber.","Conocer en qué plataformas publicar el contenido en acceso abierto teniendo en cuenta que hay revistas depredadoras, también la importancia de como recolectar los datos y analizarlos, al igual que aplicar metodologías que guían a unos buenos resultados","Permitiría tener más énfasis en como los datos e investigaciones ayudan a contribuir al desarrollo social"
"53","Para adquirir mayor preparación","Repositorios de datos abiertos","En mayor colaboración científica"
"54","Para poder fortalecer, actualizar y obtener herramientas para poder realizar una buena difusión de conocimientos, y saber como captar o llegar al publico adecuado.","Por lo que comprendo es mas que nada es lo económico ya que publicar en buenas revistas tiene un precio y ademas acceder a información para poder realizar una investigación en algunos casos tienen un costo y casi siempre por no decir que siempre no se considera dentro de un proyecto el costo de acceder a información que tiene un costo.","El poder llegar a difundir las investigaciones de manera general, es tener ese poder de mayor acceso para quienes están iniciando en este mundo. así mismo tener un lenguaje adecuado y comprensible para que aquellos que no están muy relacionados con los temas puedan comprender y/o difundir de manera responsable la información."
"55","Para adquirir herramientas que me permitan seguir fortaleciendo mi perfil profesional como investigador.","Quizás podrían ser la falta de oportunidades y herramientas para visibilizar los resultados de las investigaciones, considero influyente toda oportunidad que permita que las investigaciones puedan llegar a mas personas.","Permitirá que las investigaciones llegan a una mayor cantidad de personas, tanto del ámbito científico para seguir generando conocimiento, como a los interesados en la temática investigada."
"56","Porque estoy participando en el proyecto Polen de MD y porque me interesaría que la institución donde trabajo comience a acercarse a las políticas de datos abiertos.","Falta de permisos para abrir los datos e información.","En la demostración de capacidades profesionales y en la valoración de la diversidad local en las variables e información registradas. Permite resaltar la importancia del origen de los datos y que no toda la información viene del norte global."
"57","Contenido muy importante para la formación educativa","Las fuentes disponibles, capacidad de búsqueda","Influye mucho en el desarrollo de la sociedad"
"58","Porque me interesa la comunicación de la arqueología y creo que este programa puede ser un disparador para nuevas perspectivas","Que las publicaciones en revistas de acceso abierto no den tanto puntaje como otras y las personas se vean obligadas a publicar en medios más “tradicionales”","Creo que influye en forma muy positiva y que de hecho es fundamental por ejemplo en mi disciplina (arqueología) no solo que las comunidades locales de los lugares donde trabajamos tengan acceso a nuestros datos y resultados, sino que es realmente un trabajo en conjunto y un compartir de saberes."
"59","Me parece que es un espacio interesante para ayudar a romper algunos miedos o sensaciones de desconfianza sobre la ciencia abierta. No desde un sentido negativo hacia ese horizonte, sino mas bien de como  no ser perjudicado en el proceso de abrirse a compartir toda la producción que se genera en una investigación","Esta respuesta esta basada en el primer aspecto que considere relevante, hay otras aristas de por medio.

En primera medida, diria que la ciencia es un ambiente bastante competitivo y que el sistema científico tiende a ser restrictivo, dependiendo de la coyuntura del país donde se viva, ya que los recursos destinados a la ciencia son escasos. Esto indefectiblemente lleva a una competencia entre científicos. Por más que dentro de la academia el trabajo interdisciplinario esté bien visto y sea fomentado, en la práctica no deja de ser una situación de extrema competencia por los escasos recursos (conseguir una beca, obtener un PICT, acceder a diversas fuentes de financiamiento, etc.). Esta situación conlleva a que los pocos datos generados con los escasos recursos sean guardados con recelo y no se compartan de manera abierta. Esto se debe a que hay que ""exprimir"" todo lo posible lo poco conseguido, dadas las limitaciones económicas. En el fondo, el problema que se observa es la reticencia a compartir, ya sea datos, resultados negativos, códigos de análisis, técnicas, etc., por miedo a que sean utilizados por otras personas, perdiendo así la posibilidad de haberlos aprovechado aún más en este escenario competitivo por las fuentes de financiación.","Creo que puede motivar a generar que la gente se amigue y pueda superar ciertas ideas negativas sobre la publicacion de abierta de todo el material producido, no solo la version final de un manuscrito."
"60","Encuentro que es una excelente oportunidad para un acercamiento a la Ciencia","Lo desconozco","Siendo un aporte para mi comunidad y el entorno"
"61","Desde los 7 años que me dedico a la astronomía. He sido periodista especializado y técnico de A.I.P.E.T y en mis programas de radio he entrevistado a grandes personas de la ciencia astronómica y muchas ciencias más. Me interesa participar para poder estar en contacto con personas como yo que le interese la astronomía y estén abiertos a todas las ciencias. En estos momentos estoy generando material para que la ciencia actualizada llegue a las escuelas. Tengo muchos premios que me han dado muchísimas instituciones, no solo de Argentina sino de otros países, pienso que contactando con otros podemos formar equipo para la difusión de la ciencia.","Una barrera puede ser que los datos son sensibles y necesitan un cuidado especial para publicarse.","De la mejor forma porque la gente debe de estar informada para tomar mejores decisiones."
"62","Tenía curiosidad por este programa.","Creo que el pensamiento crítico.","Una forma de motivación científica"
"63","Para realizar divulgación científica","El uso del léxico específico, las estrategias y recursos utilizados que pueden ser costosos","creo que podría darme otras herramientas que no he tenido en cuenta hasta ahora"
"64","Porque quiero certificar mis habilidades profesionales y formarme en la área de investigación","En si los investigadores pueden llegar a experimentar bastantes barreras o desafíos; entre una de ellas (y creo que es una de las mas predominantes), podríamos poner de ejemplo la falta de recursos, ya que implementar practicas abiertas requiere tiempo, dinero y formación","Esto puede mejorar si se aumentara la transparencia, facilitara el acceso a la información y fomentara un poco mas la confianza... Al compartir datos y resultados abiertamente, se promueve una mayor comprensión y participación del público en la ciencia, lo que puede llevar a un mayor apoyo y colaboración entre científicos y ciudadanos"
"65","2 años","La adopción de prácticas de Ciencia Abierta enfrenta desafíos como la falta de infraestructura y recursos tecnológicos, y la necesidad de capacitación continua para los investigadores. Además, existe resistencia cultural e institucional al cambio, y los sistemas de evaluación académica no siempre incentivan estas prácticas. Los problemas legales y éticos, como la propiedad intelectual y la privacidad, también son barreras significativas. Finalmente, las desigualdades globales en acceso a recursos limitan la adopción en países en desarrollo. Superar estos obstáculos requiere un esfuerzo coordinado de todas las partes interesadas para fomentar y valorar la Ciencia Abierta.","Aumentando la transparencia y la confianza al momento de democratizar el acceso al conocimiento y fomentar la participación ciudadana, se promueve una mayor comprensión y apreciación de la ciencia. Además, facilita la educación y la alfabetización científica, impulsa la innovación y mejora la comunicación entre científicos y el público."
"66","Me interesa formar red y conocer personas de distintas disciplinas que podamos complementarnos.",NA,"Hacer más accesible e inclusiva la información y contribuir a la formación colectiva."
"67","Me interesa conocer los principios de la ciencia abierta y su aplicación a casos concretos y saber de qué manera es posible potenciar el compartir, preservar, difundir saberes y generar nuevos conocimientos a partir de dichas prácticas.","No lo considero una barrera ni tampoco un desafío sino un compromiso: estar atentos y respetar los marcos legales de otras formas de conocer o saber como aquellas que forman parte del conocimiento tradicional indígena que se sustentan en otra lógica.","Positivamente, dando acceso al conocimiento científico a través de diferentes vías y en paralelo desarrollando trabajos colaborativos con comunidades tradicionales (indígenas o locales)."
